protein_id,taxa_id,clade,description,domain_id,start,stop,length,genus,species
A0A0P5X3M4,35525,E,CREB-binding protein/p300 atypical RING domain,PF06001,899,937,2253,Daphnia,magna
A0A0P5X8I8,35525,E,Phosphoenolpyruvate carboxykinase GTP-utilising,PF00821,1,197,383,Daphnia,magna
A0A0P5XFV7,35525,E,EGF-like calcium-binding domain,PF07645,1467,1505,4753,Daphnia,magna
A0A0P5XKE1,35525,E,Fibronectin type III,PF00041,6249,6332,8122,Daphnia,magna
A0A0P5XKP2,35525,E,disorder_prediction,mobidb-lite,78,138,535,Daphnia,magna
A0A0P5XUN4,35525,E,PAP/25A-associated,PF03828,468,540,549,Daphnia,magna
A0A0P5XYS1,35525,E,Fanconi anemia complex subunit FancL WD-repeat containing domain,PF09765,2,241,393,Daphnia,magna
A0A0P5Y1U4,35525,E,PDZ domain,PF00595,255,322,1488,Daphnia,magna
A0A0P5Y6Y5,35525,E,Annexin repeat,PF00191,398,463,467,Daphnia,magna
A0A0P5Y9P8,35525,E,disorder_prediction,mobidb-lite,221,256,461,Daphnia,magna
A0A0P5YBU5,35525,E,disorder_prediction,mobidb-lite,782,843,1572,Daphnia,magna
A0A0P5YJ93,35525,E,Sushi von Willebrand factor type A EGF and pentraxin domain containing 1 mRNA protein OS=Daphnia magna PE=4 SV=1,CoiledCoil,885,906,3385,Daphnia,magna
A0A0P5YKJ4,35525,E,GOLD domain,PF01105,246,426,435,Daphnia,magna
A0A0P5YL31,35525,E,Collagen triple helix repeat,PF01391,275,327,451,Daphnia,magna
A0A0P5YSM6,35525,E,Thyroid receptor-interacting protein OS=Daphnia magna PE=4 SV=1,CoiledCoil,927,955,1181,Daphnia,magna
A0A0P5YUC6,35525,E,ARID DNA-binding domain,PF01388,408,491,1141,Daphnia,magna
A0A0P5ZFE7,35525,E,Fibronectin type III,PF00041,710,794,950,Daphnia,magna
A0A0P5ZTF2,35525,E,Aminotransferase class I/classII,PF00155,156,463,521,Daphnia,magna
A0A0P5ZTL9,35525,E,PAP/25A-associated,PF03828,272,332,435,Daphnia,magna
A0A0P5ZU84,35525,E,Ly-6 antigen/uPA receptor-like,PF00021,24,103,184,Daphnia,magna
A0A0P5ZYH9,35525,E,SAM-dependent methyltransferase TRM5/TYW2-type,PF02475,119,200,301,Daphnia,magna
A0A0P5ZYT8,35525,E,disorder_prediction,mobidb-lite,42,77,1357,Daphnia,magna
A0A0P6A387,35525,E,Filamin/ABP280 repeat-like,PF00630,1395,1459,2105,Daphnia,magna
A0A0P6ACA7,35525,E,disorder_prediction,mobidb-lite,41,60,769,Daphnia,magna
A0A0P6AGN6,35525,E,disorder_prediction,mobidb-lite,2754,2835,3012,Daphnia,magna
A0A0P6B023,35525,E,Kinesin protein KIF20A OS=Daphnia magna PE=3 SV=1,CoiledCoil,781,809,1450,Daphnia,magna
A0A0P6B4D3,35525,E,disorder_prediction,mobidb-lite,134,173,1194,Daphnia,magna
A0A0P6BCN7,35525,E,CTP synthase N-terminal,PF06418,94,364,704,Daphnia,magna
A0A0P6BGF8,35525,E,Glycosyltransferase 2-like,PF00535,103,218,280,Daphnia,magna
A0A0P6CD47,35525,E,B-box-type zinc finger,PF00643,37,80,230,Daphnia,magna
A0A0P6CK51,35525,E,Calcium-activated chloride channel protein,PF08434,11,720,973,Daphnia,magna
A0A0P6CQK2,35525,E,CUB domain,PF00431,97,148,154,Daphnia,magna
A0A0P6D6X4,35525,E,BTB/POZ domain,PF00651,177,247,248,Daphnia,magna
A0A0P6DAN0,35525,E,disorder_prediction,mobidb-lite,355,397,1005,Daphnia,magna
A0A0P6DCF6,35525,E,Chromosome-associated kinesin KIF4A protein OS=Daphnia magna PE=3 SV=1,CoiledCoil,714,749,1034,Daphnia,magna
A0A0P6DKT8,35525,E,Insect cuticle protein,PF00379,126,179,262,Daphnia,magna
A0A0P6DPH2,35525,E,Arginine-glutamic acid dipeptide repeats protein OS=Daphnia magna PE=4 SV=1,LowComplexity,1077,1091,2038,Daphnia,magna
A0A0P6DWR4,35525,E,disorder_prediction,mobidb-lite,4780,4815,5059,Daphnia,magna
A0A0P6DXY8,35525,E,Mitoguardin,PF10265,27,546,552,Daphnia,magna
A0A0P6EB89,35525,E,Gelsolin-like domain,PF00626,770,839,1161,Daphnia,magna
A0A0P6EF48,35525,E,WAP-type 'four-disulfide core' domain,PF00095,273,321,2157,Daphnia,magna
A0A0P6EF84,35525,E,Immunoglobulin-like domain,PF13895,254,333,395,Daphnia,magna
A0A0P6EFS0,35525,E,Small GTPase superfamily,PF00071,75,213,254,Daphnia,magna
A0A0P6EGL1,35525,E,Tubulin/FtsZ GTPase domain,PF00091,3,213,450,Daphnia,magna
A0A0P6EPI4,35525,E,disorder_prediction,mobidb-lite,296,318,1384,Daphnia,magna
A0A0P6EY34,35525,E,Serine proteases trypsin domain,PF00089,214,451,457,Daphnia,magna
A0A0P6F0M3,35525,E,Haem peroxidase animal,PF03098,134,623,641,Daphnia,magna
A0A0P6FA36,35525,E,Rho guanine nucleotide exchange factor OS=Daphnia magna PE=4 SV=1,LowComplexity,690,702,1789,Daphnia,magna
A0A0P6FGL6,35525,E,Inactive ubiquitin carboxyl-terminal hydrolase OS=Daphnia magna PE=4 SV=1,LowComplexity,1326,1338,1445,Daphnia,magna
A0A0P6FN43,35525,E,FAS1 domain,PF02469,967,1079,1084,Daphnia,magna
A0A0P6FRA8,35525,E,Histone deacetylase OS=Daphnia magna PE=4 SV=1,CoiledCoil,98,142,1107,Daphnia,magna
A0A0P6FSC6,35525,E,FERM central domain,PF00373,1973,2074,2172,Daphnia,magna
A0A0P6FUT6,35525,E,Rho GTPase-activating protein domain,PF00620,607,754,1825,Daphnia,magna
A0A0P6FXK7,35525,E,Sterile alpha motif domain,PF00536,609,668,843,Daphnia,magna
A0A0P6G8H6,35525,E,Protein phosphatase 2A regulatory B subunit B56,PF01603,12,83,352,Daphnia,magna
A0A0P6GH69,35525,E,Helicase C-terminal,PF00271,441,567,1993,Daphnia,magna
A0A0P6GM05,35525,E,Glycoside hydrolase family 2 immunoglobulin-like beta-sandwich,PF00703,214,317,482,Daphnia,magna
A0A0P6HJ16,35525,E,disorder_prediction,mobidb-lite,191,226,346,Daphnia,magna
A0A0P6HM41,35525,E,WD40 repeat,PF00400,68,104,518,Daphnia,magna
A0A0P6HSN0,35525,E,Meiotic nuclear division protein 1,PF03962,43,229,231,Daphnia,magna
A0A0P6HWA8,35525,E,Serine proteases trypsin domain,PF00089,35,277,380,Daphnia,magna
A0A0P6IE45,35525,E,ABC transporter type 1 transmembrane domain,PF00664,146,422,720,Daphnia,magna
A0A0P6IFH9,35525,E,disorder_prediction,mobidb-lite,2212,2238,2238,Daphnia,magna
A0A0P6IK41,35525,E,Pituitary homeobox Ptx1 OS=Daphnia magna PE=4 SV=1,LowComplexity,638,654,689,Daphnia,magna
A0A0P6IPN8,35525,E,LETM1-like,PF07766,235,421,834,Daphnia,magna
A0A0P6J9Q3,35525,E,Ionotropic glutamate receptor L-glutamate and glycine-binding domain,PF10613,61,150,462,Daphnia,magna
A0A0P6JC68,35525,E,IQ motif EF-hand binding site,PF00612,31,47,1144,Daphnia,magna
A0A0P6JFJ5,10181,E,Nebulin repeat,PF00880,175,195,1728,Heterocephalus,glaber
A0A0P6JNT6,35525,E,Homeobox domain,PF00046,25,65,155,Daphnia,magna
A0A0P6JYG4,10181,E,Protein of unknown function DUF1387,PF07139,59,366,558,Heterocephalus,glaber
A0A0P6K0X1,7159,E,disorder_prediction,mobidb-lite,1107,1129,3049,Aedes,aegypti
A0A0P7AFY0,78410,E,disorder_prediction,mobidb-lite,959,993,993,Neonectria,ditissima
A0A0P7B3A7,78410,E,SAC domain,PF02383,63,521,944,Neonectria,ditissima
A0A0P7B841,78410,E,disorder_prediction,mobidb-lite,1,35,293,Neonectria,ditissima
A0A0P7BB06,78410,E,disorder_prediction,mobidb-lite,1373,1417,1677,Neonectria,ditissima
A0A0P7BD84,78410,E,Septin-type guanine nucleotide-binding (G) domain,PF00735,28,303,385,Neonectria,ditissima
A0A0P7BGK1,78410,E,GAT domain,PF03127,232,308,465,Neonectria,ditissima
A0A0P7BMQ2,78410,E,disorder_prediction,mobidb-lite,202,235,838,Neonectria,ditissima
A0A0P7U5L4,113540,E,Protein of unknown function DUF4481,PF14800,81,204,209,Scleropages,formosus
A0A0P7UA56,113540,E,SH2 domain,PF00017,52,133,206,Scleropages,formosus
A0A0P7UCF9,113540,E,Poly(ADP-ribose) polymerase catalytic domain,PF00644,25,104,160,Scleropages,formosus
A0A0P7UGB8,113540,E,VPS9 domain,PF02204,753,854,995,Scleropages,formosus
A0A0P7UHA1,113540,E,Low-density lipoprotein (LDL) receptor class A repeat,PF00057,622,658,976,Scleropages,formosus
A0A0P7UHV0,113540,E,Serpin domain,PF00079,249,333,737,Scleropages,formosus
A0A0P7UQV4,113540,E,Coiled-coil domain-containing protein 50  N-terminal,PF15295,1,111,429,Scleropages,formosus
A0A0P7UT47,113540,E,RNA polymerase II-binding domain,PF04818,175,237,831,Scleropages,formosus
A0A0P7UVN5,113540,E,disorder_prediction,mobidb-lite,262,288,516,Scleropages,formosus
A0A0P7UWA8,113540,E,Myc-type basic helix-loop-helix (bHLH) domain,PF00010,67,118,213,Scleropages,formosus
A0A0P7V0S3,113540,E,disorder_prediction,mobidb-lite,1,239,239,Scleropages,formosus
A0A0P7V7Y7,113540,E,disorder_prediction,mobidb-lite,560,684,684,Scleropages,formosus
A0A0P7VCE2,113540,E,Ephrin receptor transmembrane domain,PF14575,305,375,473,Scleropages,formosus
A0A0P7WQH4,113540,E,Rho GTPase-activating protein domain,PF00620,2,89,503,Scleropages,formosus
A0A0P7WSE3,113540,E,Sterile alpha motif domain,PF00536,483,544,1349,Scleropages,formosus
A0A0P7XXU6,113540,E,Actin-binding Xin repeat,PF08043,501,516,3961,Scleropages,formosus
A0A0P7Y9Q5,113540,E,Ankyrin repeat-containing domain,PF12796,530,616,1053,Scleropages,formosus
A0A0P7YD20,113540,E,Fibronectin type III,PF00041,78,154,2568,Scleropages,formosus
A0A0P7YYB0,113540,E,Fibronectin type III,PF00041,413,486,684,Scleropages,formosus
A0A0P8XEB4,7217,E,disorder_prediction,mobidb-lite,395,423,894,Drosophila,ananassae
A0A0P8XJ52,7217,E,disorder_prediction,mobidb-lite,640,659,965,Drosophila,ananassae
A0A0P8XJI8,7217,E,Immunoglobulin I-set,PF07679,3285,3374,6349,Drosophila,ananassae
A0A0P8XLW5,7217,E,Uncharacterized protein isoform O OS=Drosophila ananassae GN=Dana\GF12470 PE=4 SV=1,CoiledCoil,2078,2106,2258,Drosophila,ananassae
A0A0P8XPW4,7217,E,Immunoglobulin I-set,PF07679,1351,1435,2043,Drosophila,ananassae
A0A0P8XQG8,7217,E,Kinesin-associated,PF16183,355,512,1682,Drosophila,ananassae
A0A0P8XRF5,7217,E,Uncharacterized protein isoform U OS=Drosophila ananassae GN=Dana\GF11157 PE=4 SV=1,CoiledCoil,5236,5257,8701,Drosophila,ananassae
A0A0P8XRX9,7217,E,disorder_prediction,mobidb-lite,1371,1483,1629,Drosophila,ananassae
A0A0P8XSI0,7217,E,disorder_prediction,mobidb-lite,391,475,557,Drosophila,ananassae
A0A0P8XVW2,7217,E,disorder_prediction,mobidb-lite,2349,2379,2830,Drosophila,ananassae
A0A0P8XWC3,7217,E,Dual specificity phosphatase catalytic domain,PF00782,17,145,322,Drosophila,ananassae
A0A0P8XY53,7217,E,EGF-like calcium-binding domain,PF07645,300,333,16272,Drosophila,ananassae
A0A0P8XYX4,7217,E,disorder_prediction,mobidb-lite,1,102,1502,Drosophila,ananassae
A0A0P8Y026,7217,E,DM13 domain,PF10517,197,299,744,Drosophila,ananassae
A0A0P8Y7L4,7217,E,Uncharacterized protein isoform B OS=Drosophila ananassae GN=Dana\GF19493 PE=4 SV=1,LowComplexity,1161,1189,2151,Drosophila,ananassae
A0A0P9A3B3,7217,E,disorder_prediction,mobidb-lite,17,73,886,Drosophila,ananassae
A0A0P9AU49,7217,E,disorder_prediction,mobidb-lite,909,968,1308,Drosophila,ananassae
A0A0P9C0Q5,7217,E,Spectrin repeat,PF00435,6399,6504,8793,Drosophila,ananassae
A0A0P9C3Q0,7217,E,Spectrin repeat,PF00435,460,547,2794,Drosophila,ananassae
A0A0Q3E6S6,15368,E,disorder_prediction,mobidb-lite,393,444,444,Brachypodium,distachyon
A0A0Q3EHU5,15368,E,Wall-associated receptor kinase galacturonan-binding domain,PF13947,27,97,674,Brachypodium,distachyon
A0A0Q3EPD4,15368,E,Sorting nexin C-terminal,PF08628,849,990,1034,Brachypodium,distachyon
A0A0Q3FCH6,15368,E,ATPase dynein-related AAA domain,PF07728,1467,1555,5337,Brachypodium,distachyon
A0A0Q3FD86,15368,E,Glycoside hydrolase family 16,PF00722,50,168,354,Brachypodium,distachyon
A0A0Q3G0U7,15368,E,RNA recognition motif domain,PF00076,244,304,319,Brachypodium,distachyon
A0A0Q3HHY9,15368,E,disorder_prediction,mobidb-lite,311,330,1917,Brachypodium,distachyon
A0A0Q3IEY0,15368,E,BTB/POZ domain,PF00651,195,301,315,Brachypodium,distachyon
A0A0Q3IQG8,15368,E,NB-ARC,PF00931,176,455,926,Brachypodium,distachyon
A0A0Q3JWY1,15368,E,Ankyrin repeat-containing domain,PF12796,98,187,430,Brachypodium,distachyon
A0A0Q3M3R3,12930,E,EGF-like calcium-binding domain,PF07645,1746,1784,2119,Amazona,aestiva
A0A0Q3M635,12930,E,WD40 repeat,PF00400,80,112,654,Amazona,aestiva
A0A0Q3MAT0,12930,E,Protein kinase A anchoring WSK motif,PF03832,883,911,2018,Amazona,aestiva
A0A0Q3MQK2,12930,E,AP complex mu/sigma subunit,PF01217,48,103,150,Amazona,aestiva
A0A0Q3NCT7,15368,E,WD40 repeat,PF00400,256,291,466,Brachypodium,distachyon
A0A0Q3P1P0,15368,E,Helicase C-terminal,PF00271,672,787,1930,Brachypodium,distachyon
A0A0Q3PAQ9,12930,E,Syntaxin N-terminal domain,PF00804,48,244,292,Amazona,aestiva
A0A0Q3PJR8,12930,E,Thioesterase,PF00975,2244,2502,2912,Amazona,aestiva
A0A0Q3PN95,12930,E,Cadherin,PF00028,301,403,817,Amazona,aestiva
A0A0Q3PTX7,12930,E,Kinesin-like KIF1-type,PF12423,786,832,2146,Amazona,aestiva
A0A0Q3PV38,12930,E,Galactosyltransferase C-terminal,PF02709,291,367,424,Amazona,aestiva
A0A0Q3QQC0,12930,E,Protein kinase domain,PF00069,547,784,803,Amazona,aestiva
A0A0Q3S497,15368,E,SANT/Myb domain,PF00249,70,115,1271,Brachypodium,distachyon
A0A0Q3T7F0,12930,E,ER membrane protein complex subunit 1 C-terminal,PF07774,809,910,911,Amazona,aestiva
A0A0Q3TN11,12930,E,Immunoglobulin I-set,PF07679,695,779,843,Amazona,aestiva
A0A0Q3TPV0,12930,E,Amino acid permease/ SLC12A domain,PF00324,399,452,1083,Amazona,aestiva
A0A0Q3UQN9,12930,E,disorder_prediction,mobidb-lite,369,398,507,Amazona,aestiva
A0A0Q3USI2,12930,E,EGF-like domain,PF00008,423,453,507,Amazona,aestiva
A0A0Q3USJ5,12930,E,disorder_prediction,mobidb-lite,128,206,561,Amazona,aestiva
A0A0Q5T3I5,7220,E,disorder_prediction,mobidb-lite,999,1129,1649,Drosophila,erecta
A0A0Q5T3T6,7220,E,Ion transport domain,PF00520,175,436,564,Drosophila,erecta
A0A0Q5T5V1,7220,E,disorder_prediction,mobidb-lite,592,623,3373,Drosophila,erecta
A0A0Q5U3C6,7220,E,Hook-related protein family,PF05622,19,609,1380,Drosophila,erecta
A0A0Q5U518,7220,E,cGMP-dependent protein kinase interacting domain,PF15898,1215,1242,1242,Drosophila,erecta
A0A0Q5U9R3,7220,E,CD80-like immunoglobulin C2-set,PF08205,177,248,1015,Drosophila,erecta
A0A0Q5UHA6,7220,E,disorder_prediction,mobidb-lite,1501,1527,2928,Drosophila,erecta
A0A0Q5VLK1,7220,E,disorder_prediction,mobidb-lite,289,494,812,Drosophila,erecta
A0A0Q5VWD1,7220,E,Zinc finger LIM-type,PF00412,344,393,1205,Drosophila,erecta
A0A0Q5WAZ5,7220,E,Thrombospondin type 3-like repeat,PF02412,379,413,651,Drosophila,erecta
A0A0Q9W369,7244,E,disorder_prediction,mobidb-lite,1421,1520,5125,Drosophila,virilis
A0A0Q9W4B7,7244,E,disorder_prediction,mobidb-lite,1372,1401,1492,Drosophila,virilis
A0A0Q9WH90,7244,E,Uncharacterized protein isoform D OS=Drosophila virilis GN=Dvir\GJ22633 PE=4 SV=1,LowComplexity,14,30,942,Drosophila,virilis
A0A0Q9WIW5,7244,E,disorder_prediction,mobidb-lite,111,311,1573,Drosophila,virilis
A0A0Q9WLX6,7244,E,Uncharacterized protein isoform D OS=Drosophila virilis GN=Dvir\GJ16188 PE=4 SV=1,CoiledCoil,1688,1709,1797,Drosophila,virilis
A0A0Q9WMJ4,7244,E,Fibronectin type III,PF00041,2234,2318,8971,Drosophila,virilis
A0A0Q9WRL5,7260,E,disorder_prediction,mobidb-lite,276,363,933,Drosophila,willistoni
A0A0Q9WYI8,7260,E,disorder_prediction,mobidb-lite,337,360,746,Drosophila,willistoni
A0A0Q9X3E8,7230,E,Ribosomal protein L13,PF00572,17,136,178,Drosophila,mojavensis
A0A0Q9X4K6,7260,E,disorder_prediction,mobidb-lite,361,380,1063,Drosophila,willistoni
A0A0Q9X4T5,7260,E,disorder_prediction,mobidb-lite,1261,1431,1447,Drosophila,willistoni
A0A0Q9X9R4,7230,E,disorder_prediction,mobidb-lite,781,844,1788,Drosophila,mojavensis
A0A0Q9X9Z4,7230,E,Spectrin repeat,PF00435,1991,2094,3118,Drosophila,mojavensis
A0A0Q9XGH9,7230,E,CD20-like family,PF04103,233,324,593,Drosophila,mojavensis
A0A0Q9XPU5,7230,E,disorder_prediction,mobidb-lite,1,55,621,Drosophila,mojavensis
A0A0R0ECK5,3847,E,Tify domain,PF06200,153,180,350,Glycine,max
A0A0R0F7J2,3847,E,Armadillo,PF00514,275,313,381,Glycine,max
A0A0R0FAI5,3847,E,B3 DNA binding domain,PF02362,1,76,314,Glycine,max
A0A0R0FDQ3,3847,E,Leucine-rich repeat,PF13855,89,148,872,Glycine,max
A0A0R0FV78,3847,E,LURP1-related protein domain,PF04525,11,174,265,Glycine,max
A0A0R0GCD9,3847,E,Helitron helicase-like domain,PF14214,303,417,1348,Glycine,max
A0A0R0GJU3,3847,E,UspA,PF00582,70,193,221,Glycine,max
A0A0R0GKR9,3847,E,Helitron helicase-like domain,PF14214,326,393,1268,Glycine,max
A0A0R0H583,3847,E,APO domain,PF05634,24,164,318,Glycine,max
A0A0R0HN41,3847,E,disorder_prediction,mobidb-lite,82,108,108,Glycine,max
A0A0R0HUU5,3847,E,ATPase AAA-type core,PF07724,46,166,334,Glycine,max
A0A0R0IKH4,3847,E,disorder_prediction,mobidb-lite,365,387,387,Glycine,max
A0A0R0J7H3,3847,E,RmlD-like substrate binding domain,PF04321,31,345,350,Glycine,max
A0A0R0JUI2,3847,E,Putative S-adenosyl-L-methionine-dependent methyltransferase,PF03141,205,316,374,Glycine,max
A0A0R0K0Z0,3847,E,disorder_prediction,mobidb-lite,511,561,1184,Glycine,max
A0A0R0LFT5,3847,E,Tetratricopeptide repeat 2,PF07719,165,196,1099,Glycine,max
A0A0R0LWT8,146866,E,Glycerol-3-phosphate dehydrogenase NAD-dependent C-terminal,PF07479,209,364,368,Pseudoloma,neurophilia
A0A0R0LZP9,146866,E,THUMP domain,PF02926,121,183,202,Pseudoloma,neurophilia
A0A0R1DQG8,7245,E,Talin N-terminal F0 domain,PF16511,20,92,1721,Drosophila,yakuba
A0A0R1DSQ1,7245,E,Ankyrin repeat-containing domain,PF12796,832,916,1712,Drosophila,yakuba
A0A0R1DUJ0,7245,E,Immunoglobulin I-set,PF07679,5129,5220,11120,Drosophila,yakuba
A0A0R1DUK3,7245,E,disorder_prediction,mobidb-lite,1130,1169,2846,Drosophila,yakuba
A0A0R1DW80,7245,E,disorder_prediction,mobidb-lite,1014,1033,1048,Drosophila,yakuba
A0A0R1E1Q0,7245,E,disorder_prediction,mobidb-lite,1406,1432,1688,Drosophila,yakuba
A0A0R1E468,7245,E,disorder_prediction,mobidb-lite,76,97,1066,Drosophila,yakuba
A0A0R1E606,7245,E,disorder_prediction,mobidb-lite,117,167,1344,Drosophila,yakuba
A0A0R1E688,7245,E,disorder_prediction,mobidb-lite,608,656,751,Drosophila,yakuba
A0A0R1EA53,7245,E,Uncharacterized protein isoform B OS=Drosophila yakuba GN=Dyak\GE23609 PE=4 SV=1,LowComplexity,563,580,608,Drosophila,yakuba
A0A0R1EC41,7245,E,Fibronectin type III,PF00041,6394,6477,8970,Drosophila,yakuba
A0A0R1EC46,7245,E,FG-GAP repeat,PF01839,307,349,1368,Drosophila,yakuba
A0A0R1EDW0,7245,E,Fibronectin type III,PF00041,5201,5285,8961,Drosophila,yakuba
A0A0R1EFV4,7245,E,Laminin EGF domain,PF00053,1961,1994,4250,Drosophila,yakuba
A0A0R1EHB4,7245,E,Low-density lipoprotein (LDL) receptor class A repeat,PF00057,778,812,4593,Drosophila,yakuba
A0A0R3P9S7,334426,E,Immunoglobulin I-set,PF07679,90,182,6688,Angiostrongylus,costaricensis
A0A0R3PBT8,334426,E,EF-hand domain,PF13405,68,90,191,Angiostrongylus,costaricensis
A0A0R3PHP6,334426,E,EB1 C-terminal,PF03271,185,222,235,Angiostrongylus,costaricensis
A0A0R3PJV6,334426,E,disorder_prediction,mobidb-lite,17,83,264,Angiostrongylus,costaricensis
A0A0R3PK74,334426,E,Target SNARE coiled-coil homology domain,PF05739,410,462,466,Angiostrongylus,costaricensis
A0A0R3PQ00,334426,E,Vacuole morphology and inheritance protein 14 Fab1-binding region,PF12755,66,161,647,Angiostrongylus,costaricensis
A0A0R3QW93,42155,E,Plectin/S10 N-terminal,PF03501,3,48,48,Brugia,timori
A0A0R3R8E8,42155,E,C2 domain,PF00168,186,300,307,Brugia,timori
A0A0R3RI24,1147741,E,Glycoside hydrolase family 85,PF03644,8,246,391,Elaeophora,elaphi
A0A0R3RPP4,1147741,E,Chitin binding domain,PF01607,13,65,205,Elaeophora,elaphi
A0A0R3RPU8,1147741,E,ABC transporter-like,PF00005,1026,1175,1249,Elaeophora,elaphi
A0A0R3RYW8,1147741,E,FAM69 N-terminal,PF14875,108,166,429,Elaeophora,elaphi
A0A0R3S0M1,1147741,E,Nuclear hormone receptor ligand-binding domain,PF00104,2,101,147,Elaeophora,elaphi
A0A0R3S6R9,1147741,E,MAM domain,PF00629,286,433,730,Elaeophora,elaphi
A0A0R3S9L3,6216,E,disorder_prediction,mobidb-lite,502,678,678,Hymenolepis,diminuta
A0A0R3SC09,6216,E,Dual specificity phosphatase catalytic domain,PF00782,77,202,211,Hymenolepis,diminuta
A0A0R3SHV1,6216,E,HAT (Half-A-TPR) repeat,PF02184,202,233,748,Hymenolepis,diminuta
A0A0R3SR79,6216,E,PIH1 domain,PF08190,171,243,244,Hymenolepis,diminuta
A0A0R3SWU4,6216,E,disorder_prediction,mobidb-lite,134,171,561,Hymenolepis,diminuta
A0A0R3T0B0,102285,E,Uncharacterized protein OS=Hymenolepis nana PE=4 SV=1,CoiledCoil,66,108,619,Hymenolepis,nana
A0A0R3T2Y4,102285,E,OB-fold nucleic acid binding domain AA-tRNA synthetase-type,PF01336,165,249,605,Hymenolepis,nana
A0A0R3T4H5,102285,E,Peptidase C1A papain C-terminal,PF00112,142,353,354,Hymenolepis,nana
A0A0R3T9P2,102285,E,Recq-mediated genome instability protein 1 C-terminal OB-fold domain,PF16099,186,270,294,Hymenolepis,nana
A0A0R3TAR5,102285,E,Zn-dependent metallo-hydrolase RNA specificity domain,PF07521,388,454,690,Hymenolepis,nana
A0A0R3TD18,102285,E,FERM N-terminal,PF09379,24,84,186,Hymenolepis,nana
A0A0R3TNX6,102285,E,Domain of unknown function DUF2040,PF09745,69,185,385,Hymenolepis,nana
A0A0R3TQJ5,102285,E,disorder_prediction,mobidb-lite,76,142,424,Hymenolepis,nana
A0A0R3TY08,102285,E,ABC transporter-like,PF00005,463,617,638,Hymenolepis,nana
A0A0R3UBS5,53468,E,Beta-lactamase-related,PF00144,29,203,496,Mesocestoides,corti
A0A0R3UE55,53468,E,14-3-3 domain,PF00244,917,1070,1112,Mesocestoides,corti
A0A0R3UIP0,53468,E,Mitochondrial substrate/solute carrier,PF00153,10,97,305,Mesocestoides,corti
A0A0R3VSS9,60517,E,Uncharacterized protein OS=Taenia asiatica PE=4 SV=2,LowComplexity,1528,1540,2898,Taenia,asiatica
A0A0R3W8J9,60517,E,disorder_prediction,mobidb-lite,587,610,774,Taenia,asiatica
A0A0R3WNN0,6205,E,Sec7 domain,PF01369,261,447,452,Hydatigera,taeniaeformis
A0A0R3X3G1,6205,E,disorder_prediction,mobidb-lite,253,403,947,Hydatigera,taeniaeformis
A0A0R4I9S8,7955,E,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8,PF05821,18,119,166,Danio,rerio
A0A0R4IDF1,7955,E,Leucine-rich repeat,PF13516,870,892,1100,Danio,rerio
A0A0R4IF59,7955,E,Reticulon,PF02453,336,499,523,Danio,rerio
A0A0R4IIY9,7955,E,disorder_prediction,mobidb-lite,4126,4162,4890,Danio,rerio
A0A0R4IN41,7955,E,Amyloidogenic glycoprotein E2 domain,PF12925,350,520,738,Danio,rerio
A0A0R4IWC8,7955,E,Domain of unknown function DUF4457,PF14652,439,597,1544,Danio,rerio
A0A0R6LHB6,84614,E,RNA polymerase Rpb1 domain 5,PF04998,1232,1273,1432,Cyrtomium,falcatum
A0A0R6M5F1,6689,E,Interferon regulatory factor DNA-binding domain,PF00605,21,109,362,Litopenaeus,vannamei
A0A0R6VTG9,1660684,E,Cytochrome c oxidase subunit I,PF00115,2,219,219,Scoparia,manifestella
A0A0S0GAN7,2872,E,Ribosomal protein L4/L1e,PF00573,38,211,215,Costaria,costata
A0A0S0ZH49,1085096,E,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,PF00361,146,442,510,Merrilliodendron,megacarpum
A0A0S0ZH78,1197917,E,NADH:ubiquinone/plastoquinone oxidoreductase chain 3,PF00507,23,119,120,Garrya,flavescens
A0A0S1GY65,1721615,E,Cytochrome c oxidase subunit I,PF00115,1,192,193,Cecidomyiidae,sp. BOLD:ACE7472
A0A0S1HTD6,1710215,E,Cytochrome c oxidase subunit I,PF00115,1,186,187,Staphylinidae,sp. BOLD:ACE1400
A0A0S1IH33,1741592,E,Cytochrome c oxidase subunit I,PF00115,2,190,191,Dixidae,sp. BOLD:ACI6982
A0A0S1ITT6,1693630,E,Cytochrome c oxidase subunit I,PF00115,2,188,189,Chironomidae,sp. BOLD:AAQ0607
A0A0S1IZ64,1740937,E,Cytochrome c oxidase subunit I,PF00115,2,194,195,Rachispoda,atra
A0A0S1J7M6,1291960,E,Cytochrome c oxidase subunit I,PF00115,2,172,173,Spilogona,sororcula
A0A0S1LJS8,486222,E,Cytochrome b/b6 N-terminal,PF00033,19,204,380,Opsariichthys,evolans
A0A0S1LL16,1472221,E,Cytochrome c oxidase subunit I,PF00115,6,235,235,Cynoglossus,arel
A0A0S1NFW8,1745576,E,Cytochrome c oxidase subunit I,PF00115,1,216,269,Terepsalta,infans
A0A0S1RLK0,1743240,E,BRCA1 serine-rich domain,PF12820,23,176,190,Cryptotis,mam
A0A0S1S334,1747705,E,Ribosomal protein S15,PF00312,17,88,90,Stipa,lipskyi
A0A0S1U3N0,5850,E,Rhoptry-associated protein 1 plasmodium,PF07218,1,735,735,Plasmodium,knowlesi
